AUDITYEAR,DBKEY,EIN,AGENCY        
2018,       100000,730776899,00   
2018,       100001,730777705,00   
2018,       100003,730779703,00   
2018,       100003,730779703,93   
2018,       100010,730784599,00   
2018,       100014,730785251,00   
2018,       100016,730785941,00   
2018,       100017,730785944,00   
2018,       100024,730791683,00   
2018,       100031,730794725,14   
2018,       100050,730930123,00   
2018,       100078,730955756,00   
2018,        10008,113166290,00   
2018,       100083,730960311,00   
2018,        10009,113167240,00   
2018,       100093,730968906,00   
2018,       100093,730968906,17   
2018,       100152,731022203,00   
2018,       100164,731028332,00   
2018,       100175,731039733,00   
2018,       100177,731042545,00   
2018,       100198,731059837,00   
2018,       100210,731071744,00   
2018,       100224,731084521,00   
2018,       100225,731084819,00   
2018,       100229,731089517,00   
2018,       100236,731096719,00   
2018,       100238,731098634,00   
2018,       100242,731100380,00   
2018,       100248,731107761,14   
2018,       100253,731116755,00   
2018,       100269,731129417,00   
2018,       100279,731134098,00   
2018,       100330,731177858,00   
2018,       100335,731184980,00   
2018,       100401,731242962,00   
2018,       100401,731242962,64   
2018,       100582,736061037,00   
2018,       100606,731408751,00   
2018,       100623,731424239,00   
2018,        10070,113273995,00   
2018,       100704,736085616,84   
2018,       100782,736111618,00   
2018,         1008,020341593,00   
2018,         1008,020341593,14   
2018,         1009,020342104,00   
2018,         1010,020342196,00   
2018,       101078,741070544,00   
2018,       101101,760461578,00   
2018,       101106,741109620,00   
2018,       101111,741109631,00   
2018,       101112,741109633,00   
2018,       101112,741109633,84   
2018,       101115,741109637,00   
2018,       101117,741109641,00   
2018,       101121,741109650,00   
2018,       101129,741109661,84   
2018,       101129,741109661,93   
2018,       101136,741109733,00   
2018,       101139,741109745,00   
2018,       101140,741109748,00   
2018,       101140,741109748,84   
2018,       101157,741117340,00   
2018,       101158,741117341,00   
2018,       101170,741132578,00   
2018,       101209,741152597,00   
2018,       101211,741152599,00   
2018,       101232,741159753,00   
2018,       101236,741161940,00   
2018,       101236,741161940,84   
2018,       101237,741161941,84   
2018,       101238,741161942,00   
2018,       101240,741162773,00   
2018,       101259,741173235,00   
2018,       101265,741180151,84   
2018,       101267,741180155,00   
2018,       101267,741180155,12   
2018,       101267,741180155,93   
2018,       101294,741193459,00   
2018,       101300,741196134,00   
2018,       101302,741198298,00   
2018,       101338,741233796,00   
2018,       101339,741233800,00   
2018,       101349,741238418,00   
2018,       101351,741238434,00   
2018,       101351,741238434,10   
2018,       101351,741238434,11   
2018,       101351,741238434,93   
2018,       101352,741238438,00   
2018,       101382,741272381,00   
2018,       101395,741277664,00   
2018,       101395,741277664,84   
2018,       101401,741285095,00   
2018,       101428,741303721,00   
2018,       101434,741312313,00   
2018,       101439,741322808,00   
2018,       101460,741340188,00   
2018,       101515,741400228,00   
2018,       101517,741400699,00   
2018,       101579,741488102,00   
2018,       101590,741495127,00   
2018,       101618,741533639,00   
2018,       101626,741540097,00   
2018,       101630,741541726,00   
2018,       101632,741541774,00   
2018,       101650,741547909,00   
2018,       101654,741549077,00   
2018,       101665,741554976,00   
2018,       101665,741554976,84   
2018,       101675,741565842,00   
2018,       101677,741586927,00   
2018,       101687,741590220,00   
2018,       101690,741590387,00   
2018,       101695,741591558,00   
2018,       101695,741591558,93   
2018,       101706,741595867,00   
2018,       101707,741596159,00   
2018,       101716,741603964,00   
2018,       101719,741604560,00   
2018,       101724,741609108,00   
2018,       101742,741613878,00   
2018,       101764,741622958,00   
2018,       101767,741623759,00   
2018,       101786,741653179,00   
2018,       101790,741655329,00   
2018,        10179,116042392,00   
2018,       101793,741658460,00   
2018,       101809,741669131,00   
2018,       101819,741675230,00   
2018,       101821,741678795,00   
2018,       101822,741679824,00   
2018,       101825,741681485,00   
2018,       101833,741684198,00   
2018,       101846,741694949,00   
2018,       101852,741696491,00   
2018,       101854,741696961,00   
2018,       101869,741711362,14   
2018,       101877,741715140,00   
2018,       101879,741715419,00   
2018,       101881,741716699,93   
2018,       101891,741722037,00   
2018,       101893,741722420,93   
2018,       101896,741724391,00   
2018,       101900,741728621,00   
2018,       101911,741743006,00   
2018,       101930,741769114,00   
2018,       101941,741783855,00   
2018,       101941,741783855,93   
2018,        10194,116046932,00   
2018,       101945,741787031,00   
2018,       101949,741796037,00   
2018,       101951,741801332,00   
2018,       101955,741804123,00   
2018,       101956,741804539,00   
2018,       101967,741815988,00   
2018,       101976,741826899,00   
2018,       101980,741835777,00   
2018,       101983,741842169,00   
2018,       101989,741847991,00   
2018,       101989,741847991,10   
2018,       102002,741855952,00   
2018,       102011,741861796,00   
2018,       102041,741883434,00   
2018,       102070,741905196,00   
2018,       102077,741909670,00   
2018,       102082,741914638,00   
2018,       102085,741916289,00   
2018,       102104,741934276,00   
2018,       102118,741943398,00   
2018,       102121,741945924,00   
2018,       102121,741945924,16   
2018,       102121,741945924,93   
2018,       102129,741948646,00   
2018,        10213,116083182,00   
2018,       102134,741951476,00   
2018,       102138,741956677,00   
2018,       102177,741989590,00   
2018,       102177,741989590,14   
2018,       102179,741991417,00   
2018,        10218,116107128,00   
2018,       102182,741993570,00   
2018,       102184,741994151,00   
2018,       102189,741997674,00   
2018,       102193,741999427,00   
2018,       102218,742020505,00   
2018,       102221,742020902,00   
2018,       102234,742033203,00   
2018,       102253,742044647,00   
