Applicant,State,EIN,DUNS,Grant Type,Status
City of Charlottesville Public Schools,Virginia,33-1234888,88-111-8235,Discretionary,Active
Fairfax Public Schools,Virginia,33-1234888,88-111-8235,Discretionary,Active
City of Charlottesville Public Schools,Virginia,33-1234888,88-111-8235,Discretionary,Active
City of Charlottesville Public Schools,Virginia,33-1234888,88-111-8235,Discretionary,Active
City of Charlottesville Public Schools,Virginia,33-1234888,88-111-8235,Discretionary,Active
City of Charlottesville Public Schools,Virginia,33-1234888,88-111-8235,Discretionary,Active
City of Charlottesville Public Schools,Virginia,33-1234888,88-111-8235,Discretionary,Active
City of Charlottesville Public Schools,Virginia,33-1234888,88-111-8235,Discretionary,Active
City of Charlottesville Public Schools,Virginia,33-1234888,88-111-8235,Discretionary,Active
City of Charlottesville Public Schools,Virginia,33-1234888,88-111-8235,Discretionary,Active
City of Charlottesville Public Schools,Virginia,33-1234888,88-111-8235,Discretionary,Active
City of Charlottesville Public Schools,Virginia,33-1234888,88-111-8235,Discretionary,Active
